Date,Close
12/04/2024,"19742.46"
12/03/2024,"19746.32"
12/02/2024,"19550.29"
11/29/2024,"19423.61"
11/28/2024,"19366.96"
11/27/2024,"19603.13"
11/26/2024,"19159.20"
11/25/2024,"19150.99"
11/22/2024,"19229.97"
11/21/2024,"19601.11"
11/20/2024,"19705.01"
11/19/2024,"19663.67"
11/18/2024,"19576.61"
11/15/2024,"19426.34"
11/14/2024,"19435.81"
11/13/2024,"19823.45"
11/12/2024,"19846.88"
11/11/2024,"20426.93"
11/08/2024,"20728.19"
11/07/2024,"20953.34"
11/06/2024,"20538.38"
11/05/2024,"21006.97"
11/04/2024,"20567.52"
11/01/2024,"20506.43"
10/31/2024,"20317.33"
10/30/2024,"20380.64"
10/29/2024,"20701.14"
10/28/2024,"20599.36"
10/25/2024,"20590.15"
10/24/2024,"20489.62"
10/23/2024,"20760.15"
10/22/2024,"20498.95"
10/21/2024,"20478.46"
10/18/2024,"20804.11"
10/17/2024,"20079.10"
10/16/2024,"20286.85"
10/15/2024,"20318.79"
10/14/2024,"21092.87"
10/10/2024,"21251.98"
10/09/2024,"20637.24"
10/08/2024,"20926.79"
10/07/2024,"23099.78"
10/04/2024,"22736.87"
10/03/2024,"22113.51"
10/02/2024,"22443.73"
09/30/2024,"21133.68"
09/27/2024,"20632.30"
09/26/2024,"19924.58"
09/25/2024,"19129.10"
09/24/2024,"19000.56"
09/23/2024,"18247.11"
09/20/2024,"18258.57"
09/19/2024,"18013.16"
09/17/2024,"17660.02"
09/16/2024,"17422.12"
09/13/2024,"17369.09"
09/12/2024,"17240.39"
09/11/2024,"17108.71"
09/10/2024,"17234.09"
09/09/2024,"17196.96"
09/05/2024,"17444.30"
09/04/2024,"17457.34"
09/03/2024,"17651.49"
09/02/2024,"17691.97"
08/30/2024,"17989.07"
08/29/2024,"17786.32"
08/28/2024,"17692.45"
08/27/2024,"17874.67"
08/26/2024,"17798.73"
08/23/2024,"17612.10"
08/22/2024,"17641.00"
08/21/2024,"17391.01"
08/20/2024,"17511.08"
08/19/2024,"17569.57"
08/16/2024,"17430.16"
08/15/2024,"17109.14"
08/14/2024,"17113.36"
08/13/2024,"17174.06"
08/12/2024,"17111.65"
08/09/2024,"17090.23"
08/08/2024,"16891.83"
08/07/2024,"16877.86"
08/06/2024,"16647.34"
08/05/2024,"16698.36"
08/02/2024,"16945.51"
08/01/2024,"17304.96"
07/31/2024,"17344.60"
07/30/2024,"17002.91"
07/29/2024,"17238.34"
07/26/2024,"17021.31"
07/25/2024,"17004.97"
07/24/2024,"17311.05"
07/23/2024,"17469.36"
07/22/2024,"17635.88"
07/19/2024,"17417.68"
07/18/2024,"17778.41"
07/17/2024,"17739.41"
07/16/2024,"17727.98"
07/15/2024,"18015.94"
07/12/2024,"18293.38"
07/11/2024,"17832.33"
07/10/2024,"17471.67"
07/09/2024,"17523.23"
07/08/2024,"17524.06"
07/05/2024,"17799.61"
07/04/2024,"18028.28"
07/03/2024,"17978.57"
07/02/2024,"17769.14"
06/28/2024,"17718.61"
06/27/2024,"17716.47"
06/26/2024,"18089.93"
06/25/2024,"18072.90"
06/24/2024,"18027.71"
06/21/2024,"18028.52"
06/20/2024,"18335.32"
06/19/2024,"18430.39"
06/18/2024,"17915.55"
06/17/2024,"17936.12"
06/14/2024,"17941.78"
06/13/2024,"18112.63"
06/12/2024,"17937.84"
06/11/2024,"18176.34"
06/07/2024,"18366.95"
06/06/2024,"18476.80"
06/05/2024,"18424.96"
06/04/2024,"18444.11"
06/03/2024,"18403.04"
05/31/2024,"18079.61"
05/30/2024,"18230.19"
05/29/2024,"18477.01"
05/28/2024,"18821.16"
05/27/2024,"18827.35"
05/24/2024,"18608.94"
05/23/2024,"18868.71"
05/22/2024,"19195.60"
05/21/2024,"19220.62"
05/20/2024,"19636.22"
05/17/2024,"19553.61"
05/16/2024,"19376.53"
