Date,Close
12/04/2024,"11,886.86"
12/03/2024,"11,815.93"
12/02/2024,"11,739.35"
12/01/2024,"11,741.74"
11/28/2024,"11,641.31"
11/27/2024,"11,590.79"
11/26/2024,"11,736.07"
11/25/2024,"11,787.72"
11/24/2024,"11,864.90"
11/21/2024,"11,840.52"
11/20/2024,"11,867.92"
11/19/2024,"11,875.91"
11/18/2024,"11,830.38"
11/17/2024,"11,811.98"
11/14/2024,"11,791.18"
11/13/2024,"11,930.45"
11/12/2024,"12,047.67"
11/11/2024,"12,106.41"
11/10/2024,"12,103.16"
11/07/2024,"12,130.83"
11/06/2024,"12,093.35"
11/05/2024,"12,014.94"
11/04/2024,"12,039.31"
11/03/2024,"12,048.26"
10/31/2024,"12,022.11"
10/30/2024,"12,018.81"
10/29/2024,"12,062.09"
10/28/2024,"12,053.15"
10/27/2024,"12,068.97"
10/24/2024,"11,886.06"
10/23/2024,"11,901.77"
10/22/2024,"11,956.99"
10/21/2024,"12,008.31"
10/20/2024,"11,882.93"
10/17/2024,"11,907.43"
10/16/2024,"12,038.67"
10/15/2024,"12,001.63"
10/14/2024,"11,959.67"
10/13/2024,"12,069.21"
10/10/2024,"11,994.22"
10/09/2024,"11,927.33"
10/08/2024,"12,027.17"
10/07/2024,"11,913.62"
10/06/2024,"11,769.04"
10/03/2024,"11,957.54"
10/02/2024,"12,044.07"
10/01/2024,"12,253.54"
09/30/2024,"12,226.10"
09/29/2024,"12,271.77"
09/26/2024,"12,374.30"
09/25/2024,"12,343.72"
09/24/2024,"12,268.42"
09/22/2024,"12,129.62"
09/19/2024,"12,080.47"
09/18/2024,"11,920.94"
09/17/2024,"11,885.66"
09/16/2024,"11,867.37"
09/15/2024,"11,900.30"
09/12/2024,"11,842.55"
09/11/2024,"11,766.40"
09/10/2024,"11,986.60"
09/09/2024,"11,962.90"
09/08/2024,"11,982.30"
09/05/2024,"12,099.49"
09/04/2024,"12,128.14"
09/03/2024,"12,180.37"
09/02/2024,"12,167.47"
09/01/2024,"12,189.40"
08/29/2024,"12,145.15"
08/28/2024,"12,117.15"
08/27/2024,"12,182.20"
08/26/2024,"12,261.18"
08/25/2024,"12,262.64"
08/22/2024,"12,194.43"
