Date,Close
12/04/2024,"20,130.75"
12/03/2024,"20,016.75"
12/02/2024,"19,933.62"
11/29/2024,"19,626.45"
11/28/2024,"19,425.73"
11/27/2024,"19,261.75"
11/26/2024,"19,295.98"
11/25/2024,"19,405.20"
11/22/2024,"19,322.59"
11/21/2024,"19,146.17"
11/20/2024,"19,004.78"
11/19/2024,"19,060.31"
11/18/2024,"19,189.19"
11/15/2024,"19,210.81"
11/14/2024,"19,263.70"
11/13/2024,"19,003.11"
11/12/2024,"19,033.64"
11/11/2024,"19,448.60"
11/08/2024,"19,215.48"
11/07/2024,"19,362.52"
11/06/2024,"19,039.31"
11/05/2024,"19,256.27"
11/04/2024,"19,147.85"
11/01/2024,"19,254.97"
10/31/2024,"19,077.54"
10/30/2024,"19,257.34"
10/29/2024,"19,478.07"
10/28/2024,"19,531.62"
10/25/2024,"19,463.59"
10/24/2024,"19,443.00"
10/23/2024,"19,377.62"
10/22/2024,"19,421.91"
10/21/2024,"19,461.19"
10/18/2024,"19,657.37"
10/17/2024,"19,583.39"
10/16/2024,"19,432.81"
10/15/2024,"19,486.19"
10/14/2024,"19,508.29"
10/11/2024,"19,373.83"
10/10/2024,"19,210.90"
10/09/2024,"19,254.93"
10/08/2024,"19,066.47"
10/07/2024,"19,104.10"
10/04/2024,"19,120.93"
10/03/2024,"19,015.41"
10/02/2024,"19,164.75"
10/01/2024,"19,213.14"
09/30/2024,"19,324.93"
09/27/2024,"19,473.63"
09/26/2024,"19,238.36"
09/25/2024,"18,918.50"
09/24/2024,"18,996.63"
09/23/2024,"18,846.79"
09/20/2024,"18,720.01"
09/19/2024,"19,002.38"
09/18/2024,"18,711.49"
09/17/2024,"18,726.08"
09/16/2024,"18,633.11"
09/13/2024,"18,699.40"
09/12/2024,"18,518.39"
09/11/2024,"18,330.27"
09/10/2024,"18,265.92"
09/09/2024,"18,443.56"
09/06/2024,"18,301.90"
09/05/2024,"18,576.50"
09/04/2024,"18,591.85"
09/03/2024,"18,747.11"
09/02/2024,"18,930.85"
08/30/2024,"18,906.92"
08/29/2024,"18,912.57"
08/28/2024,"18,782.29"
08/27/2024,"18,681.81"
08/26/2024,"18,617.02"
08/23/2024,"18,633.10"
08/22/2024,"18,493.39"
08/21/2024,"18,448.95"
08/20/2024,"18,357.52"
08/19/2024,"18,421.69"
08/16/2024,"18,322.40"
08/15/2024,"18,183.24"
08/14/2024,"17,885.60"
08/13/2024,"17,812.05"
08/12/2024,"17,726.47"
08/09/2024,"17,722.88"
08/08/2024,"17,680.40"
08/07/2024,"17,615.15"
08/06/2024,"17,354.32"
08/05/2024,"17,339.00"
08/02/2024,"17,661.22"
08/01/2024,"18,083.05"
07/31/2024,"18,508.65"
07/30/2024,"18,411.18"
07/29/2024,"18,320.67"
07/26/2024,"18,417.55"
07/25/2024,"18,298.72"
07/24/2024,"18,387.46"
07/23/2024,"18,557.70"
07/22/2024,"18,407.07"
07/19/2024,"18,171.93"
07/18/2024,"18,354.76"
07/17/2024,"18,437.30"
07/16/2024,"18,518.03"
07/15/2024,"18,590.89"
07/12/2024,"18,748.18"
07/11/2024,"18,534.56"
07/10/2024,"18,407.22"
07/09/2024,"18,236.19"
07/08/2024,"18,472.05"
07/05/2024,"18,475.45"
07/04/2024,"18,450.48"
07/03/2024,"18,374.53"
07/02/2024,"18,164.06"
07/01/2024,"18,290.66"
06/28/2024,"18,235.45"
06/27/2024,"18,210.55"
06/26/2024,"18,155.24"
06/25/2024,"18,177.62"
06/24/2024,"18,325.58"
06/21/2024,"18,163.52"
06/20/2024,"18,254.18"
06/19/2024,"18,067.91"
06/18/2024,"18,131.97"
06/17/2024,"18,068.21"
06/14/2024,"18,002.02"
06/13/2024,"18,265.68"
06/12/2024,"18,630.86"
06/11/2024,"18,369.94"
06/10/2024,"18,494.89"
06/07/2024,"18,557.27"
06/06/2024,"18,652.67"
06/05/2024,"18,575.94"
06/04/2024,"18,405.64"
06/03/2024,"18,608.16"
05/31/2024,"18,497.94"
05/30/2024,"18,496.79"
05/29/2024,"18,473.29"
05/28/2024,"18,677.87"
05/27/2024,"18,774.71"
05/24/2024,"18,693.37"
05/23/2024,"18,691.32"
05/22/2024,"18,680.20"
05/21/2024,"18,726.76"
05/20/2024,"18,768.96"
05/17/2024,"18,704.42"
05/16/2024,"18,738.81"
05/15/2024,"18,869.36"
05/14/2024,"18,716.42"
05/13/2024,"18,742.22"
05/10/2024,"18,772.85"
05/09/2024,"18,686.60"
05/08/2024,"18,498.38"
05/07/2024,"18,430.05"
05/06/2024,"18,175.21"
05/03/2024,"17,993.69"
05/02/2024,"17,896.50"
04/30/2024,"17,932.17"
04/29/2024,"18,118.32"
04/26/2024,"18,161.01"
04/25/2024,"17,917.28"
04/24/2024,"18,088.70"
04/23/2024,"18,137.65"
04/22/2024,"17,860.80"
04/19/2024,"17,737.36"
04/18/2024,"17,837.40"
04/17/2024,"17,770.02"
04/16/2024,"17,766.23"
04/15/2024,"18,026.58"
04/12/2024,"17,930.32"
04/11/2024,"17,954.48"
04/10/2024,"18,097.30"
04/09/2024,"18,076.69"
04/08/2024,"18,318.97"
04/05/2024,"18,175.04"
04/04/2024,"18,403.13"
04/03/2024,"18,367.72"
04/02/2024,"18,283.13"
03/28/2024,"18,492.49"
03/27/2024,"18,477.09"
03/26/2024,"18,384.35"
03/25/2024,"18,261.31"
03/22/2024,"18,205.94"
03/21/2024,"18,179.25"
03/20/2024,"18,015.13"
03/19/2024,"17,987.49"
03/18/2024,"17,932.68"
03/15/2024,"17,936.65"
03/14/2024,"17,942.04"
03/13/2024,"17,961.38"
03/12/2024,"17,965.11"
03/11/2024,"17,746.27"
03/08/2024,"17,814.51"
03/07/2024,"17,842.85"
03/06/2024,"17,716.71"
03/05/2024,"17,698.40"
03/04/2024,"17,716.17"
03/01/2024,"17,735.07"
02/29/2024,"17,678.19"
02/28/2024,"17,601.22"
02/27/2024,"17,556.49"
02/26/2024,"17,423.23"
02/23/2024,"17,419.33"
